('fs-ham-0500290', '4.7.49', 'shall'),
('fs-ham-0500490', '4.7.50', 'shall'),
('fs-ham-0500710', '4.7.51', 'shall'),
('fs-ham-0501080', '4.7.54', 'should'),
('fs-ham-0502330', '4.7.62', 'shall'),
('fs-ham-0502700', '4.7.65', 'should'),
('fs-ham-0504040', '4.7.73', 'shall'),
('fs-ham-0504300', '4.7.74', 'shall'),
('fs-ham-0504420', '4.7.75', 'shall'),
('fs-ham-0512950', '4.7.135', 'should'),
('fs-ham-0513490', '4.7.139', 'should'),
('fs-ham-0514410', '4.7.145', 'should'),
('fs-ham-0514490', '4.7.146', 'should'),
('fs-ham-0514900', '4.7.148', 'shall'),
('fs-ham-0515100', '4.7.149', 'shall'),
('fs-ham-0518400', '4.7.171', 'should'),
('fs-ham-0518750', '4.7.175', 'Should'),
('fs-ham-0529800', '5.1.25', 'should'),
('fs-ham-0530190', '5.1.28', 'should'),
('fs-ham-0550510', '5.1.155', 'shall'),
('fs-ham-0560750', '5.1.223', 'Should'),
('fs-ham-0563160', '5.1.236', 'should'),
('fs-ham-0563510', '5.1.238', 'should'),
('fs-ham-0564220', '5.1.245', 'should'),
('fs-ham-0565080', '5.1.251', 'shall'),
('fs-ham-0565620', '5.1.255', 'shouldst'),
('fs-ham-0574800', '5.1.317', 'shall'),
('fs-ham-0575000', '5.1.318', 'shall'),
('fs-ham-0575500', '5.2.1', 'shall'),
('fs-ham-0576850', '5.2.9', 'should'),
('fs-ham-0579180', '5.2.28', 'should'),
('fs-ham-0581870', '5.2.46', 'should'),
('fs-ham-0582600', '5.2.51', 'should'),
('fs-ham-0589690', '5.2.100', 'shall'),
('fs-ham-0590300', '5.2.103', 'should'),
('fs-ham-0593920', '5.2.123', 'shall'),
('fs-ham-0598250', '5.2.151', 'should'),
('fs-ham-0602730', '5.2.179', 'shall'),
('fs-ham-0604820', '5.2.192', 'Shall'),
('fs-ham-0610070', '5.2.225', 'shall'),
('fs-ham-0616770', '5.2.260', 'should'),
('fs-ham-0618560', '5.2.273', 'shall'),
('fs-ham-0621250', '5.2.290', 'shall'),
('fs-ham-0621490', '5.2.291', 'shall'),
('fs-ham-0624560', '5.2.312', 'shall'),
('fs-ham-0635650', '5.2.379', 'shall'),
('fs-ham-0640170', '5.2.409', 'should'),
('fs-ham-0640520', '5.2.412', 'should'),
('fs-ham-0642020', '5.2.422', 'shall'),
('fs-ham-0643710', '5.2.434', 'shall'),
