('fs-ham-0365780', '3.3.28', 'will'),
('fs-ham-0368240', '3.3.43', 'will'),
('fs-ham-0374440', '3.3.80', 'would'),
('fs-ham-0378560', '3.4.1', 'will'),
('fs-ham-0381410', '3.4.21', 'would'),
('fs-ham-0382460', '3.4.26', 'wilt'),
('fs-ham-0382550', '3.4.26', 'wilt'),
('fs-ham-0391170', '3.4.81', 'Would'),
('fs-ham-0391670', '3.4.83', 'would'),
('fs-ham-0393920', '3.4.98', 'will'),
('fs-ham-0394410', '3.4.102', 'will'),
('fs-ham-0396740', '3.4.119', 'would'),
('fs-ham-0400220', '3.4.144', 'Would'),
('fs-ham-0400780', '3.4.148', 'Will'),
('fs-ham-0403160', '3.4.164', 'will'),
('fs-ham-0403240', '3.4.165', 'Would'),
('fs-ham-0403750', '3.4.168', 'will'),
('fs-ham-0408680', '3.4.197', 'will'),
('fs-ham-0408760', '3.4.197', 'will'),
('fs-ham-0411180', '3.4.212', 'Would'),
('fs-ham-0411490', '3.4.213', 'would'),
('fs-ham-0413340', '3.4.226', 'will'),
('fs-ham-0413420', '3.4.226', 'will'),
('fs-ham-0414220', '3.4.231', 'will'),
('fs-ham-0418790', '4.1.18', 'will'),
('fs-ham-0419350', '4.1.21', 'would'),
('fs-ham-0420960', '4.1.31', 'will'),
('fs-ham-0435400', '4.3.43', 'will'),
('fs-ham-0440480', '4.3.77', 'will'),
('fs-ham-0441450', '4.4.5', 'would'),
('fs-ham-0441820', '4.4.8', 'will'),
('fs-ham-0443920', '4.4.21', 'would'),
('fs-ham-0444020', '4.4.22', 'will'),
('fs-ham-0444490', '4.4.24', 'will'),
('fs-ham-0444810', '4.4.27', 'Will'),
('fs-ham-0448320', '4.4.48', 'will'),
('fs-ham-0451940', '4.5.1', 'will'),
('fs-ham-0452200', '4.5.3', 'will'),
('fs-ham-0452310', '4.5.4', 'would'),
('fs-ham-0453870', '4.5.15', 'would'),
('fs-ham-0460350', '4.5.65', 'will'),
('fs-ham-0460930', '4.5.70', 'would'),
('fs-ham-0461440', '4.5.73', 'will'),
('fs-ham-0461770', '4.5.74', 'would'),
('fs-ham-0465700', '4.5.100', 'Will'),
('fs-ham-0469520', '4.5.125', 'will'),
('fs-ham-0469570', '4.5.125', 'will'),
('fs-ham-0471320', '4.5.139', 'would'),
('fs-ham-0471420', '4.5.140', 'will'),
('fs-ham-0473340', '4.5.156', 'will'),
('fs-ham-0474210', '4.5.162', 'will'),
('fs-ham-0474480', '4.5.166', 'Will'),
('fs-ham-0480690', '4.5.207', 'would'),
('fs-ham-0481600', '4.5.213', 'will'),
('fs-ham-0481720', '4.5.214', 'will'),
('fs-ham-0482060', '4.5.217', 'will'),
('fs-ham-0483630', '4.5.228', 'will'),
('fs-ham-0484090', '4.5.231', 'will'),
('fs-ham-0486510', '4.6.1', 'would'),
('fs-ham-0490860', '4.6.24', 'wouldst'),
('fs-ham-0491080', '4.6.25', 'will'),
('fs-ham-0491460', '4.6.27', 'will'),
('fs-ham-0492100', '4.6.32', 'will'),
('fs-ham-0496660', '4.7.25', 'Would'),
('fs-ham-0497680', '4.7.31', 'will'),
('fs-ham-0498770', '4.7.37', 'will'),
('fs-ham-0502850', '4.7.66', 'Will'),
('fs-ham-0503090', '4.7.68', 'will'),
('fs-ham-0503740', '4.7.71', 'will'),
('fs-ham-0504650', '4.7.77', 'will'),
('fs-ham-0512400', '4.7.131', 'will'),
('fs-ham-0512900', '4.7.134', 'would'),
('fs-ham-0513030', '4.7.135', 'would'),
('fs-ham-0513100', '4.7.135', 'would'),
('fs-ham-0513930', '4.7.141', 'would'),
('fs-ham-0514650', '4.7.147', 'Will'),
('fs-ham-0515840', '4.7.155', 'Will'),
('fs-ham-0516500', '4.7.159', 'will'),
('fs-ham-0524370', '4.7.214', 'will'),
('fs-ham-0524520', '4.7.215', 'will'),
('fs-ham-0524820', '4.7.216', 'would'),
('fs-ham-0525380', '4.7.220', 'will'),
('fs-ham-0528430', '5.1.17', 'will'),
('fs-ham-0528480', '5.1.17', 'nill'),
('fs-ham-0529490', '5.1.24', 'Will'),
('fs-ham-0534650', '5.1.58', 'will'),
('fs-ham-0538430', '5.1.81', 'would'),
('fs-ham-0542150', '5.1.104', 'will'),
('fs-ham-0543310', '5.1.110', 'Will'),
('fs-ham-0543910', '5.1.113', 'will'),
('fs-ham-0544930', '5.1.119', 'will'),
('fs-ham-0548170', '5.1.141', 'will'),
('fs-ham-0551970', '5.1.168', 'will'),
('fs-ham-0552530', '5.1.170', 'will'),
('fs-ham-0552680', '5.1.171', 'will'),
('fs-ham-0552900', '5.1.172', 'will'),
('fs-ham-0553360', '5.1.176', 'will'),
('fs-ham-0569480', '5.1.282', 'will'),
('fs-ham-0569670', '5.1.283', 'will'),
('fs-ham-0570260', '5.1.287', 'wilt'),
('fs-ham-0570790', '5.1.291', 'Woo’t'),
('fs-ham-0570840', '5.1.291', 'woo’t'),
('fs-ham-0570890', '5.1.291', 'woo’t'),
